id,ciudad,provincia,pais
504,Cotorra,Córdoba,Colombia
505,La Apartada,Córdoba,Colombia
506,Lorica,Córdoba,Colombia
507,Los Córdobas,Córdoba,Colombia
508,Momil,Córdoba,Colombia
509,Moñitos,Córdoba,Colombia
510,Montelíbano,Córdoba,Colombia
511,Montería,Córdoba,Colombia
512,Planeta Rica,Córdoba,Colombia
513,Pueblo Nuevo,Córdoba,Colombia
514,Puerto Escondido,Córdoba,Colombia
515,Puerto Libertador,Córdoba,Colombia
516,Purísima,Córdoba,Colombia
517,Sahagún,Córdoba,Colombia
518,San Andrés de Sotavento,Córdoba,Colombia
519,San Antero,Córdoba,Colombia
520,San Bernardo del Viento,Córdoba,Colombia
521,San Carlos,Córdoba,Colombia
522,San José de Uré,Córdoba,Colombia
523,San Pelayo,Córdoba,Colombia
524,Tierralta,Córdoba,Colombia
525,Tuchín,Córdoba,Colombia
526,Valencia,Córdoba,Colombia
527,Agua de Dios,Cundinamarca,Colombia
528,Albán,Cundinamarca,Colombia
529,Anapoima,Cundinamarca,Colombia
530,Anolaima,Cundinamarca,Colombia
531,Apulo,Cundinamarca,Colombia
532,Arbeláez,Cundinamarca,Colombia
533,Beltrán,Cundinamarca,Colombia
534,Bituima,Cundinamarca,Colombia
535,Bogotá D.C.,Cundinamarca,Colombia
536,Bojacá,Cundinamarca,Colombia
537,Cabrera,Cundinamarca,Colombia
538,Cachipay,Cundinamarca,Colombia
539,Cajicá,Cundinamarca,Colombia
540,Caparrapí,Cundinamarca,Colombia
541,Caqueza,Cundinamarca,Colombia
542,Carmen de Carupa,Cundinamarca,Colombia
543,Chaguaní,Cundinamarca,Colombia
544,Chía,Cundinamarca,Colombia
545,Chipaque,Cundinamarca,Colombia
546,Choachí,Cundinamarca,Colombia
547,Chocontá,Cundinamarca,Colombia
548,Cogua,Cundinamarca,Colombia
549,Cota,Cundinamarca,Colombia
550,Cucunubá,Cundinamarca,Colombia
551,El Colegio,Cundinamarca,Colombia
